lat,lgn,city
18.37477,-95.75444,Carlos A. Carrillo
17.08083,-92.8025,Carmen Zacatal
30.38269,-107.95628,Casas Grandes
19.04222,-98.11889,Casa Blanca
19.6052,-104.43433,Casimiro Castillo
26.78932,-101.43211,Castaños
18.42131,-95.11398,Catemaco
17.725,-92.01417,Catazajá
20.75005,-97.63161,Castillo de Teayo
21.01539,-89.70347,Caucel
20.7037,-97.30978,Cazones de Herrera
26.5258,-104.1295,Ceballos
20.06359,-97.60688,Caxhuacan
20.52353,-100.8157,Celaya
20.85973,-90.39902,Celestún
20.96621,-88.60438,Cenotillo
20.55444,-103.19361,Centro de Readaptación Social
20.506,-90.10979,Cepeda
21.135,-101.74972,Centro Familiar la Soledad
25.87806,-108.90139,Cerrillos (Campo 35)
20.10877,-101.3871,Cerano
32.48417,-116.25056,Cereso del Hongo
22.42835,-100.28474,Cerritos
20.59294,-101.12684,Cerro Gordo
18.30528,-95.84167,Chacaltianguis
21.192,-97.74088,Cerro Azul
16.3,-94.18333,Chahuite
19.18333,-99.81667,Cerro La Calera
23.47498,-103.88293,Chalchihuites
19.26174,-98.89775,Chalco de Díaz Covarrubias
21.31444,-98.79194,Chalchocoyo
19.34441,-90.72576,Champotón
16.78416,-92.68959,Chamula
16.71667,-92.4,Chanal
16.6575,-92.2575,Chanal
18.27306,-100.58528,Changata
20.29616,-103.19123,Chapala
21.15731,-98.90361,Chapulhuacán
18.63536,-97.40006,Chapuco
23.12799,-101.11414,Charcas
19.20216,-99.56176,Chapultepec
19.65112,-102.2519,Charapán
23.86306,-103.6575,Charco Blanco
19.74737,-101.045,Charo
20.00592,-102.45962,Chavínda
21.26967,-89.74006,Chelem
20.65613,-87.9364,Chemax
19.68536,-101.95368,Cherán
18.51413,-88.30381,Chetumal
16.7077,-93.01184,Chiapa de Corzo
16.56975,-92.72037,Chiapilla
19.30633,-98.21773,Chiautempan
19.54895,-98.88236,Chiautla
18.30149,-98.60339,Chiautla de Tapia
20.1425,-97.94556,Chicahuaxtla
20.66667,-88.56667,Chichén-Itzá
17.65902,-99.67624,Chichihualco
20.63176,-88.21689,Chichimila
15.74405,-92.28598,Chicomuselo
19.20073,-97.06691,Chichiquila
19.55939,-98.89884,Chiconcuac
21.13617,-89.51625,Chicxulub Pueblo
20.97214,-98.17239,Chicontepec de Tejada
18.52028,-98.57889,Chietla
28.63528,-106.08889,Chihuahua
19.83866,-98.03171,Chignahuapan
18.78278,-99.20722,Chiconcuac
20.33436,-88.4863,Chikindzonot
17.59459,-99.17639,Chilapa de Alvarez
19.84654,-102.11716,Chilchota
21.13444,-98.43556,Chililico
17.23333,-92.41667,Chilón
17.5506,-99.50578,Chilpancingo de los Bravos
25.69997,-99.23454,China
18.02195,-94.67945,Chinameca
19.76993,-90.49595,China
21.35959,-97.73484,Chinampa de Gorostiza
19.81996,-97.38859,Chinautla
20.2,-103.81667,Chiquilistlán
19.00611,-98.33056,Chipilo de Francisco Javier Mina
26.70901,-108.32545,Choix
20.75087,-89.83041,Chochola
19.01214,-97.03291,Chocaman
21.01078,-89.29147,Cholul Cantón
17.66614,-93.48115,Chontalpa
19.06406,-98.30352,Cholula
19.58533,-88.5922,Chunhuhub
20.15056,-102.06469,Churintzio
18.66333,-101.64741,Churumuco de Morelos
25.95488,-100.16742,Ciénega de Flores
16.68393,-93.71814,Cintalapa de Figueroa
29.32322,-100.95217,Ciudad Acuña
19.2366,-104.56512,Cihuatlán
18.3582,-100.66965,Ciudad Altamirano
18.76694,-98.98222,Ciudad Ayala
27.24457,-100.13229,Ciudad Anáhuac
27.67842,-105.17136,Ciudad Camargo
32.19556,-115.0025,Ciudad Coahuila (Kilómetro Cincuenta y Siete)
25.0321,-111.66256,Ciudad Constitución
18.3,-98.60389,Ciudad de Chiautla de Tapia
20.01861,-97.52111,Ciudad de Cuetzalan
18.30111,-99.33111,Ciudad de Huitzuco
17.80787,-97.77956,Ciudad de Huajuapan de León
20.01766,-97.52277,Ciudad de Cuetzalan
19.49241,-98.53526,Ciudad de Nanacamilpa
19.26722,-103.73778,Ciudad de Villa de Álvarez
18.64592,-91.82991,Ciudad del Carmen
19.85278,-97.49528,Ciudad de Tlatlauquitepec
22.40187,-99.60468,Ciudad del Maiz
28.19013,-105.47012,Ciudad Delicias
26.23186,-98.5956,Ciudad Díaz Ordaz
21.94037,-100.0117,Ciudad Fernández
26.92814,-101.45212,Ciudad Frontera
19.70466,-103.4617,Ciudad Guzmán
25.26318,-111.77547,Ciudad Insurgentes
19.69229,-100.55739,"Ciudad Hidalgo, Michoacán"
31.73333,-106.48333,Ciudad Juárez
25.53718,-103.52456,Ciudad Lerdo
19.58547,-99.26035,Ciudad López Mateos
17.97066,-102.22124,Ciudad Lázaro Cárdenas
22.27228,-97.83623,Ciudad Madero
22.74304,-98.9739,Ciudad Mante
20.72882,-101.95243,Ciudad Manuel Doblado
26.39952,-99.02836,Ciudad Miguel Alemán
18.80615,-97.17777,Ciudad Mendoza
19.40061,-99.01483,Ciudad Nezahualcoyotl
27.48642,-109.94083,Ciudad Obregón
17.88358,-92.48489,Ciudad Pemex
27.85591,-101.11738,Ciudad Sabinas
19.77557,-98.57471,Ciudad Sahagun
21.98333,-99.01667,Ciudad Valles
18.9894,-97.44702,Ciudad Serdán
23.74174,-99.14599,Ciudad Victoria
17.93611,-94.66667,Coacotla
19.63453,-99.1005,Coacalco
19.65163,-96.94043,Coacotzintla
18.75119,-103.66798,Coahuayana Viejo
19.80556,-97.41028,Coahuixco
17.13137,-93.15946,Coapilla
18.7775,-103.16,Coalcomán de Vázquez Pallares
18.89492,-99.72153,Coatepec Harinas
19.45229,-96.96148,Coatepec
18.7302,-99.32707,Coatetelco
18.13346,-94.44242,Coatzacoalcos
20.48699,-97.46823,Coatzintla
27.57519,-109.9591,Cocorit
19.23336,-98.86596,Cocotitlan
18.88417,-98.98194,Cocoyoc
18.24116,-99.66202,Cocula
20.36517,-103.82215,Cocula
19.82195,-101.5847,Coeneo de la Libertad
19.43333,-103.55,Cofradía
20.11858,-102.85182,Cojumatlán de Régules
19.24997,-103.72714,Colima
20.07833,-98.72667,Colinas de Plata
20.62361,-100.46667,Colinas de Santa Cruz Segunda Sección
25.81705,-100.10258,Colinas del Aeropuerto
20.50417,-103.39833,Colinas del Roble
20.78323,-100.05149,Colón
25.10972,-107.94472,Colonia Agrícola México (Palmitas)
19.70056,-99.11667,Colonia 2 de Septiembre
19.39111,-99.52528,Colonia Emiliano Zapata
19.58389,-98.99139,Colonia el Salado
19.42139,-99.01361,Colonia Gustavo Baz Prada
16.20967,-95.02722,Colonia Juárez
21.36167,-97.69306,Colonia las Flores
19.69083,-99.06417,Colonia la Asunción
19.63167,-99.15333,Colonia Lázaro Cárdenas (Los Hornos)
30.70167,-116.00278,Colonia Lomas de San Ramón (Triquis)
17.96306,-94.9025,Colonia Lealtad
20.53523,-100.48828,Colonia los Ángeles
19.31167,-99.54111,Colonia los Cedros
30.50667,-115.9225,Colonia Nueva Era
16.80111,-95.07972,Colonia Progreso
19.63778,-99.33917,Colonia Morelos
28.24167,-105.44361,Colonia Revolución
20.98475,-101.48502,Colonia Nuevo México
16.88678,-95.04731,Colonia Rincón Viejo
20.93556,-100.73611,Colonia San Luis Rey
21.2525,-102.35139,Colonia Santa Cecilia (La Sauceda)
19.50191,-96.87817,Colonia Santa Bárbara
19.845,-99.23333,Colonia Santa Teresa
20.19291,-99.17866,Colonia Teñhe
28.63861,-100.55667,Colonia Venustiano Carranza
19.40005,-98.05822,Colonia Venustiano Carranza
19.49083,-101.59389,Colonia Vista Bella (Lomas del Peaje)
20.04583,-97.05139,Colonias Pedernales
19.17829,-100.21817,Colorines
17.06667,-99.28333,Colotepec
19.17639,-100.21639,Colorines
19.57132,-101.90433,Comachuén
22.11299,-103.26707,Colotlán
19.32717,-103.75926,Comala
16.24471,-92.13425,Comitán
18.26316,-93.22397,Comalcalco
20.72278,-100.75946,Comonfort
21.23777,-104.9001,Compostela
18.40684,-95.17415,Comoapan
24.61326,-101.41844,Concepcion del Oro
19.09444,-98.06139,Concepción Capulac (La Ex-Hacienda)
25.77982,-103.11696,Concordia
19.97822,-103.25981,Concepción de Buenos Aires
23.28694,-106.06389,Concordia
28.25375,-105.51922,Congregación Ortíz
19.36889,-99.77861,Conjunto Habitacional Ecológico SUTEYM
19.68361,-101.30361,Conjunto Habitacional Villas del Pedregal
21.07365,-89.51995,Conkal
17.09366,-93.21059,Copainalá
19.95432,-100.16385,Contepec
19.32639,-99.73194,Conjunto Urbano la Loma I
18.03427,-99.04124,Copalillo
16.60774,-98.97821,Copala
17.46417,-98.7125,Copanatoyac
19.20625,-103.80952,Coquimatlán
19.89278,-101.21362,Copándaro de Galeana
16.71191,-93.12089,Copoya
18.8842,-96.92559,Córdoba
18.90861,-96.97889,Córdoba (Santa Leticia)
21.95028,-102.33222,Corral de Barrancos
18.11461,-95.11542,Corral Nuevo
24.41501,-106.69073,Cosalá
20.20001,-100.36546,Coroneo
20.48008,-100.96067,Cortazar
19.33196,-96.9903,Cosautlán de Carvajal
18.36759,-95.79857,Cosamaloapan de Carpio
22.35,-102.3,Cosío
18.60055,-96.68524,Cosolapa
18.60194,-96.68278,Cosolapa
19.80922,-102.70198,Cotija de la Paz
17.99794,-94.63542,Cosoleacaque
18.26682,-97.14996,Coxcatlán
20.18398,-97.58568,Coxquihui
25.6951,-103.2842,Coyote
19.3467,-99.16174,Coyoacán
19.77722,-99.21295,Coyotepec
17.00895,-100.08714,Coyuca de Benítez
18.32614,-100.69898,Coyuca de Catalán
20.2472,-97.65824,Coyutla
20.63333,-103.2,Coyula
21.32111,-101.97333,Cristeros [Fraccionamiento]
27.75054,-107.6352,Creel
16.35,-93.53333,Cristóbal Obregón
16.43246,-93.45689,Cristóbal Obregón
15.76889,-96.135,Crucecita
16.72241,-99.12356,Cruz Grande
18.81699,-97.51017,Cuacnopalan
19.35993,-99.29388,Cuajimalpa
19.48485,-101.50794,Cuanajo
16.47347,-98.41389,Cuajinicuilapa de Santa Maria
19.2968,-97.76917,Cuapiaxtla
19.10905,-98.32848,Cuanalá
18.91462,-97.82031,Cuapiaxtla de Madero
20.62194,-101.28001,Cuarta Brigada
22.54408,-98.15074,Cuauhtémoc
28.40884,-106.86319,Cuauhtémoc
19.44506,-99.14612,Cuauhtémoc
19.32861,-103.60284,Cuauhtémoc
16.75004,-99.0024,Cuautepec
27.43333,-110.01667,Cuauhtémoc (Campo Cinco)
20.03557,-98.31015,Cuautepec de Hinojosa
19.67029,-99.17865,Cuautitlán
19.64388,-99.21598,Cuautitlán Izcalli
19.08912,-98.27137,Cuautlancingo
18.80459,-98.94555,Cuautla Morelos
18.87642,-97.02171,Cuautlapan
20.66092,-101.46203,Cuchicuato
20.62498,-101.67201,Cuerámaro
24.87116,-103.69731,Cuencamé
18.9261,-99.23075,Cuernavaca
17.80272,-96.95939,Cuicatlan
17.93889,-94.28,Cuichapa
18.77223,-96.8698,Cuichapa
18.8138,-96.72392,Cuitláhuac
16.97756,-96.78081,Cuilapan de Guerrero
20.34278,-102.78389,Cuitzeo (La Estancia)
19.96944,-101.14069,Cuitzeo del Porvenir
24.79032,-107.38782,Culiacán
24.82538,-107.53445,Culiacancito
29.99587,-109.78087,Cumpas
18.06557,-93.17302,Cunduacán
18.46783,-100.58089,Cutzamala de Pinzón
20.74202,-89.31732,Cuzama
20.46702,-102.14976,Degollado
32.35497,-115.19617,Delta
17.94167,-94.99806,Dehesa
19.2075,-96.27333,Delfino Victoria (Santa Fe)
23.67211,-100.18134,Doctor Arroyo
32.22756,-115.16792,Doctor Alberto Oviedo Mota
16.34611,-93.41667,Doctor Domingo Chanona
19.65528,-99.92639,Dolores Hidalgo
21.1425,-100.31906,Doctor Mora
21.15611,-100.9325,Dolores Hidalgo Cuna de la Independencia Nacional
19.14064,-98.45751,Domingo Arenas
19.87444,-98.93472,Don Antonio
20.09169,-99.24362,Doxey
21.087,-101.5237,Duarte
20.38888,-89.46855,Dzan
23.00175,-102.17405,Dulce Grande
21.21036,-89.30956,Dzemul
21.24898,-89.04205,Dzidzantun
21.28098,-88.92957,Dzilam González
20.84089,-88.52908,Dzitás
20.31857,-90.05611,Dzitbalché
19.61725,-99.06601,Ecatepec
20.16188,-102.1934,Ecuandureo
18.95508,-98.75198,Ecatzingo de Hidalgo
29.68333,-108.26667,Ejido El Largo
30.14937,-106.88362,Ejido Benito Juárez
19.30139,-99.75028,Ejido San Lorenzo Cuauhtenco
25.35091,-102.95698,Ejido Venustiano Carranza
20.22139,-98.91222,El Arenal
16.56623,-96.73123,Ejutla de Crespo
16.09639,-92.83333,El Ámbar (El Ámbar de Echeverría)
17.06273,-92.72147,El Bosque
20.25972,-98.97417,El Boxtha
25.53878,-108.41286,El Burrión
25.64028,-103.325,El Cambio
27.47306,-99.62,El Campanario y Oradel
19.22972,-98.21944,El Carmen Aztama
19.32426,-97.6535,El Carmen Tequesquitla
24.01416,-106.85196,El Carrizo
24.1025,-110.41444,El Centenario
20.30222,-99.87067,El Cazadero
19.54661,-96.86425,El Castillo
17.6381,-101.47571,El Coacoyul
19.32337,-99.5425,El Cerrillo Vista Hermosa
20.40167,-97.34389,El Chote
19.06101,-104.25853,El Colomo
20.56185,-100.2452,El Colorado
25.95867,-97.81281,El Control
19.28306,-99.83528,El Cóporo
24.72389,-107.45194,El Diez
20.38317,-103.86131,El Crucero de Santa María
24.32283,-107.36298,El Dorado
16.48472,-95.04167,El Espinal
16.36862,-94.10449,El Espinal
26.41686,-108.61828,El Fuerte de Montes Claros
19.80603,-104.21805,El Grullo
19.42583,-99.35556,El Hielo
21.76708,-98.45186,El Higo
25.52,-103.48667,El Huarache (El Guarache)
20.23444,-98.96222,El Huaxtho
20.07569,-98.81972,El Huixmí
17.41491,-92.40293,El Limar
19.82546,-104.15633,El Limón
24.91361,-107.52333,El Limón de los Ramos
20.06537,-99.31976,El Llano
17.24621,-99.51646,El Ocotito
21.94389,-102.32278,El Llano
32.5075,-116.79194,El Niño
19.80272,-100.13081,El Oro de Hidalgo
19.25278,-99.465,El Pedregal de Guadalupe Hidalgo
19.35139,-98.94833,El Pino
20.53972,-100.44139,El Pueblito
20.54387,-103.28467,El Quince
20.6714,-103.73929,El Refugio
23.24556,-106.20583,El Roble
19.15556,-97.89444,El Rincón Citlaltépetl
24.25556,-107.18278,El Rosario
18.9525,-99.58972,El Salitre
20.33333,-104.5,El Salto
20.66596,-100.42288,El Salitre
18.17706,-96.0335,El Santuario
20.07694,-98.73722,El Saucillo
22.73111,-102.09528,El Saucito (El Horno)
20.06778,-98.73194,El Saucillo (Fraccionamiento)
31.89329,-116.69256,El Sauzal
20.47774,-100.1154,El Saúz
17.22694,-100.63917,El Súchil
19.07433,-96.16097,El Tejar
27.37057,-109.89379,El Tobarito
17.92323,-91.17049,El Triunfo
17.21639,-100.44472,El Ticui
25.64278,-108.425,El Varal (San Sebastián Número Uno)
20.43111,-100.35024,El Vegil
20.55567,-103.27901,El Verde
21.11257,-102.80555,El Zapote
24.32444,-107.36722,Eldorado
18.83677,-99.18207,Emiliano Zapata
19.6549,-98.54497,Emiliano Zapata
19.65417,-98.54639,Emiliano Zapata
19.55861,-97.91667,Emiliano Zapata
17.74058,-91.76635,Emiliano Zapata
19.34361,-98.97472,Emiliano Zapata
30.75417,-116.00306,Emiliano Zapata
19.57972,-99.78806,Emiliano Zapata (Santo Domingo)
19.64444,-99.91667,Emilio Portes Gil
25.91028,-100.28056,Emiliano Zapata
27.96166,-110.81411,Empalme
20.6725,-100.74675,Empalme Escobedo
21.52727,-102.23975,Encarnación de Díaz
31.86613,-116.59972,Ensenada
19.49842,-99.57502,Enthavi
25.855,-100.24722,Entronque Laredo-Salinas Victoria
18.60891,-90.74544,Escárcega
22.11167,-101.07305,Escalerillas
22.83253,-105.77539,Escuinapa de Hidalgo
15.31944,-92.65833,Escuintla
21.0101,-88.30686,Espita
32.19304,-114.99933,Estación Coahuila
30.72412,-109.5893,Esqueda
17.80889,-95.2175,Estación Juanita
21.95107,-105.1438,Estación Ruiz
19.88285,-100.94861,Estación Queréndaro
23.18972,-102.78472,Estación San José
24.01528,-99.20194,Estación Santa Engracia
26.91094,-109.6261,Etchojoa
26.76727,-109.68236,Etchoropo
20.76839,-104.07735,Etzatlán
21.95944,-102.27417,Ex-Viñedos Guadalupe
20.6646,-99.89697,Ezequiel Montes
19.17389,-99.56528,Ex-Rancho San Dimas
19.70667,-99.0725,Ex-Hacienda Santa Inés
19.5775,-88.04529,Felipe Carrillo Puerto
19.16325,-102.70834,Felipe Carrillo Puerto
20.055,-98.76333,Forjadores de Pachuca
20.20004,-97.70392,Filomeno Mata
